session,experiment,model,features,target,n_folds,type,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
1,logistic_entropy_MIC_PAO1_PA,logistic,entropy,MIC_PAO1_PA,5,classification,,,,,,,0.7841897233201581,0.0507316525786108,0.5665986537871966,0.1155752067054962,0.7601740083561068,0.0657738902154628
1,nn_combined_MIC_PAO1_PA,nn,combined,MIC_PAO1_PA,5,regression,53.95444973563908,4.922108533018878,37.668886169075066,6.420124782630757,0.0075455977762457,0.0859039857726592,,,,,,
1,xgboost_combined_MIC_PAO1_PA,xgboost,combined,MIC_PAO1_PA,5,regression,48.30111330906752,9.388067468877392,27.560526253986303,7.296354851208518,0.1562409987099178,0.3600612347724017,,,,,,
1,ridge_combined_MIC_PAO1_PA,ridge,combined,MIC_PAO1_PA,5,regression,55.244626783157,8.18303697669281,35.53022185338095,6.694282617835071,-0.0436267186652716,0.2031331366595835,,,,,,
1,logistic_combined_MIC_PAO1_PA,logistic,combined,MIC_PAO1_PA,5,classification,,,,,,,0.783399209486166,0.0358051283719945,0.5962653027975608,0.1096147765085187,0.7651640908180178,0.0444346687177511
2,nn_composition_MIC_PAO1,nn,composition,MIC_PAO1,5,regression,52.9970444413922,10.996431368647947,37.377021321903946,7.269144990165421,0.0676443763363088,0.258380510452925,,,,,,
2,xgboost_composition_MIC_PAO1,xgboost,composition,MIC_PAO1,5,regression,58.94371184233048,11.387808000063073,34.219489609794515,7.537706109170541,-0.1528394967626227,0.2964636434814394,,,,,,
2,ridge_composition_MIC_PAO1,ridge,composition,MIC_PAO1,5,regression,58.812195010827246,9.9138835884682,36.73566241214486,6.324852987172766,-0.1606702392546559,0.2997512466904087,,,,,,
2,logistic_composition_MIC_PAO1,logistic,composition,MIC_PAO1,5,classification,,,,,,,0.7652173913043478,0.0891687690891172,0.5803052413536285,0.1675867348240791,0.741296058801159,0.0965039436570425
2,nn_entropy_MIC_PAO1,nn,entropy,MIC_PAO1,5,regression,52.80389892183555,8.455471259340671,37.27605690009264,6.685506987024824,0.0790288528476905,0.1663258649989939,,,,,,
2,xgboost_entropy_MIC_PAO1,xgboost,entropy,MIC_PAO1,5,regression,50.62283602906462,6.262972255356874,30.059522990958826,4.498962495827765,0.14766679662262,0.1327661085751541,,,,,,
2,ridge_entropy_MIC_PAO1,ridge,entropy,MIC_PAO1,5,regression,57.98594375415709,12.414934580195467,37.170548016045885,6.616534790287473,-0.1248577622261748,0.348226163991265,,,,,,
2,logistic_entropy_MIC_PAO1,logistic,entropy,MIC_PAO1,5,classification,,,,,,,0.8288537549407116,0.0443252040122567,0.6750089605734766,0.0689841049390387,0.8119981193420885,0.0493753452634394
2,nn_combined_MIC_PAO1,nn,combined,MIC_PAO1,5,regression,51.930104852758255,9.982359547151797,36.77573137523854,6.711089904832914,0.1051640157645239,0.2285065798502327,,,,,,
2,xgboost_combined_MIC_PAO1,xgboost,combined,MIC_PAO1,5,regression,50.63111563325359,5.582494708300836,30.00575456159845,5.263742298434196,0.1488837020952795,0.0982838563551557,,,,,,
2,ridge_combined_MIC_PAO1,ridge,combined,MIC_PAO1,5,regression,54.82780956647774,12.421025627311815,35.1373619136826,8.335661927352382,-0.0021698859531964,0.322525075787001,,,,,,
2,logistic_combined_MIC_PAO1,logistic,combined,MIC_PAO1,5,classification,,,,,,,0.7557312252964428,0.0637651215011387,0.5285839832725261,0.1319005275692816,0.7325652614178623,0.068590873732588
2,nn_composition_MIC_SA,nn,composition,MIC_SA,5,regression,35.69347731397171,6.173809983527774,24.833634749702785,2.760268820115136,0.5824930735928453,0.1126613271872166,,,,,,
2,xgboost_composition_MIC_SA,xgboost,composition,MIC_SA,5,regression,30.23531314589452,4.615841079249354,17.287056735193307,3.982789023042737,0.6927809539497772,0.1006690586535375,,,,,,
2,ridge_composition_MIC_SA,ridge,composition,MIC_SA,5,regression,29.78425170676276,6.14562077714153,19.85043281511308,2.832281301238325,0.7077049363020073,0.0960861810957643,,,,,,
2,logistic_composition_MIC_SA,logistic,composition,MIC_SA,5,classification,,,,,,,0.9197628458498024,0.0577075098814229,0.8387492572786691,0.1603408612127392,0.9132091080533304,0.0653342541920901
2,nn_entropy_MIC_SA,nn,entropy,MIC_SA,5,regression,33.61475548370066,7.972803420874229,20.28000849546651,3.134816997950224,0.6244458668964374,0.1493523699946908,,,,,,
2,xgboost_entropy_MIC_SA,xgboost,entropy,MIC_SA,5,regression,28.85922548016184,7.191891406508242,13.713256443913275,3.656760835146368,0.7215115077427304,0.121672907914585,,,,,,
2,ridge_entropy_MIC_SA,ridge,entropy,MIC_SA,5,regression,28.514804798185764,7.189550299292458,16.128012508354125,3.990398259789882,0.7256134086635064,0.1127172469627289,,,,,,
2,logistic_entropy_MIC_SA,logistic,entropy,MIC_SA,5,classification,,,,,,,0.9288537549407117,0.0588786888042962,0.8525103980986334,0.1653570351729225,0.9225754992379032,0.0673968588378609
2,nn_combined_MIC_SA,nn,combined,MIC_SA,5,regression,33.894258485031415,8.84688567752301,22.39059348125232,3.632235873381569,0.6132125267143046,0.1589173232770118,,,,,,
2,xgboost_combined_MIC_SA,xgboost,combined,MIC_SA,5,regression,28.464238084374948,10.295200565987498,15.945326754603936,6.293227260464841,0.7123414499941387,0.1603485646870482,,,,,,
2,ridge_combined_MIC_SA,ridge,combined,MIC_SA,5,regression,27.843853201444443,5.415380545057124,15.783098616990634,3.18094083453432,0.7422928013529319,0.0839307071950916,,,,,,
2,logistic_combined_MIC_SA,logistic,combined,MIC_SA,5,classification,,,,,,,0.9470355731225296,0.0637994130451614,0.883065953654189,0.1753691839487635,0.9425249941873982,0.0724127189284605
2,nn_composition_MIC_PAO1_PA,nn,composition,MIC_PAO1_PA,5,regression,53.576890425713245,10.846191113713946,37.74291492085669,7.363716553679919,0.0472151617597226,0.2580677743149944,,,,,,
2,xgboost_composition_MIC_PAO1_PA,xgboost,composition,MIC_PAO1_PA,5,regression,56.73738142133844,11.862018258876676,33.15057635884497,8.066323035278122,-0.0757199655804864,0.3210983490084463,,,,,,
2,ridge_composition_MIC_PAO1_PA,ridge,composition,MIC_PAO1_PA,5,regression,57.68907605405534,7.351068329414828,36.29405262179894,5.720783781327476,-0.0995440808351643,0.1274408761894661,,,,,,
2,logistic_composition_MIC_PAO1_PA,logistic,composition,MIC_PAO1_PA,5,classification,,,,,,,0.7830039525691699,0.0619356364240918,0.5955627705627705,0.1314958921748678,0.7630128287391134,0.0693279411002875
2,nn_entropy_MIC_PAO1_PA,nn,entropy,MIC_PAO1_PA,5,regression,52.80995998423199,10.11958233150805,37.519119668595735,7.82912176668814,0.0756166346482864,0.2324726045001268,,,,,,
2,xgboost_entropy_MIC_PAO1_PA,xgboost,entropy,MIC_PAO1_PA,5,regression,48.302354578190126,8.990015917491636,27.90391756569669,4.956371334550537,0.2267224711168371,0.1865698721522809,,,,,,
2,ridge_entropy_MIC_PAO1_PA,ridge,entropy,MIC_PAO1_PA,5,regression,58.61525739632516,8.30590787672482,37.081787021448335,6.323022654122479,-0.153707022375935,0.2487022313649659,,,,,,
2,logistic_entropy_MIC_PAO1_PA,logistic,entropy,MIC_PAO1_PA,5,classification,,,,,,,0.7924901185770752,0.0745035698560298,0.6141643258689977,0.1395658063578173,0.7718649740410799,0.0836074603820598
2,nn_combined_MIC_PAO1_PA,nn,combined,MIC_PAO1_PA,5,regression,52.46443434028051,10.592718452410068,36.856378927487526,6.770701331059562,0.0856060719328775,0.2485420714372977,,,,,,
